size,sparsity,min,max,runtime,hardware
7500,0.5,10,100,659,1_8
7500,0.5,10,1000,657,1_8
7500,0.5,10,10000,659,1_8
7500,0.5,50,100,662,1_8
7500,0.5,50,1000,658,1_8
7500,0.5,50,10000,659,1_8
7500,0.75,1,100,659,1_8
7500,0.75,1,1000,659,1_8
7500,0.75,1,10000,717,1_8
7500,0.75,10,100,663,1_8
7500,0.75,10,1000,718,1_8
7500,0.75,10,10000,716,1_8
7500,0.75,50,100,603,1_8
7500,0.75,50,1000,660,1_8
7500,0.75,50,10000,661,1_8
10000,0.0,1,100,1504,1_8
10000,0.0,1,1000,1500,1_8
10000,0.0,1,10000,1441,1_8
10000,0.0,10,100,1442,1_8
10000,0.0,10,1000,1500,1_8
10000,0.0,10,10000,1558,1_8
10000,0.0,50,100,1501,1_8
10000,0.0,50,1000,1558,1_8
10000,0.0,50,10000,1501,1_8
10000,0.25,1,100,1441,1_8
10000,0.25,1,1000,1561,1_8
10000,0.25,1,10000,1561,1_8
10000,0.25,10,100,1558,1_8
10000,0.25,10,1000,1440,1_8
10000,0.25,10,10000,1500,1_8
10000,0.25,50,100,1502,1_8
10000,0.25,50,1000,1559,1_8
10000,0.25,50,10000,1558,1_8
10000,0.5,1,100,1496,1_8
10000,0.5,1,1000,1559,1_8
10000,0.5,1,10000,1500,1_8
10000,0.5,10,100,1557,1_8
10000,0.5,10,1000,1502,1_8
10000,0.5,10,10000,1556,1_8
10000,0.5,50,100,1498,1_8
10000,0.5,50,1000,1561,1_8
10000,0.5,50,10000,1441,1_8
10000,0.75,1,100,1563,1_8
10000,0.75,1,1000,1496,1_8
10000,0.75,1,10000,1498,1_8
10000,0.75,10,100,1501,1_8
10000,0.75,10,1000,1620,1_8
10000,0.75,10,10000,721,1_8
10000,0.75,50,100,721,1_8
10000,0.75,50,1000,720,1_8
10000,0.75,50,10000,720,1_8
12500,0.0,1,100,1440,1_8
12500,0.0,1,1000,1440,1_8
12500,0.0,1,10000,1385,1_8
12500,0.0,10,100,1440,1_8
12500,0.0,10,1000,1440,1_8
12500,0.0,10,10000,1441,1_8
12500,0.0,50,100,1440,1_8
12500,0.0,50,1000,1441,1_8
12500,0.0,50,10000,1440,1_8
12500,0.25,1,100,1440,1_8
12500,0.25,1,1000,1440,1_8
12500,0.25,1,10000,1441,1_8
12500,0.25,10,100,1440,1_8
12500,0.25,10,1000,1441,1_8
12500,0.25,10,10000,1440,1_8
12500,0.25,50,100,1441,1_8
12500,0.25,50,1000,1440,1_8
12500,0.25,50,10000,1495,1_8
12500,0.5,1,100,1441,1_8
12500,0.5,1,1000,1498,1_8
12500,0.5,1,10000,1498,1_8
12500,0.5,10,100,1443,1_8
12500,0.5,10,1000,1498,1_8
12500,0.5,10,10000,1498,1_8
12500,0.5,50,100,1497,1_8
12500,0.5,50,1000,1443,1_8
12500,0.5,50,10000,1498,1_8
12500,0.75,1,100,1500,1_8
12500,0.75,1,1000,1497,1_8
12500,0.75,1,10000,1500,1_8
12500,0.75,10,100,1499,1_8
12500,0.75,10,1000,1497,1_8
12500,0.75,10,10000,1497,1_8
12500,0.75,50,100,1444,1_8
12500,0.75,50,1000,1443,1_8
12500,0.75,50,10000,1496,1_8
100,0.0,1,100,0,2_8
100,0.0,1,1000,0,2_8
100,0.0,1,10000,0,2_8
100,0.0,10,100,0,2_8
100,0.0,10,1000,0,2_8
100,0.0,10,10000,0,2_8
100,0.0,50,100,0,2_8
100,0.0,50,1000,0,2_8
100,0.0,50,10000,0,2_8
100,0.25,1,100,0,2_8
100,0.25,1,1000,0,2_8
100,0.25,1,10000,0,2_8
100,0.25,10,100,0,2_8
100,0.25,10,1000,0,2_8
100,0.25,10,10000,0,2_8
100,0.25,50,100,0,2_8
100,0.25,50,1000,0,2_8
100,0.25,50,10000,0,2_8
100,0.5,1,100,0,2_8
100,0.5,1,1000,0,2_8
100,0.5,1,10000,0,2_8
100,0.5,10,100,0,2_8
100,0.5,10,1000,0,2_8
100,0.5,10,10000,0,2_8
100,0.5,50,100,0,2_8
100,0.5,50,1000,0,2_8
100,0.5,50,10000,0,2_8
100,0.75,1,100,0,2_8
100,0.75,1,1000,0,2_8
100,0.75,1,10000,0,2_8
100,0.75,10,100,0,2_8
100,0.75,10,1000,0,2_8
100,0.75,10,10000,0,2_8
100,0.75,50,100,0,2_8
100,0.75,50,1000,0,2_8
100,0.75,50,10000,0,2_8
200,0.0,1,100,0,2_8
200,0.0,1,1000,0,2_8
200,0.0,1,10000,0,2_8
200,0.0,10,100,0,2_8
200,0.0,10,1000,0,2_8
200,0.0,10,10000,0,2_8
200,0.0,50,100,0,2_8
200,0.0,50,1000,0,2_8
200,0.0,50,10000,0,2_8
200,0.25,1,100,0,2_8
200,0.25,1,1000,0,2_8
200,0.25,1,10000,0,2_8
200,0.25,10,100,0,2_8
200,0.25,10,1000,0,2_8
200,0.25,10,10000,0,2_8
200,0.25,50,100,0,2_8
200,0.25,50,1000,0,2_8
