,size,sparsity,min,max,start,end,hardware
158,500,0.25,10,10000,2024-10-03 03:10:20+00:00,2024-10-03 03:10:21+00:00,1_8
159,500,0.25,50,100,2024-10-03 03:10:21+00:00,2024-10-03 03:10:21+00:00,1_8
160,500,0.25,50,1000,2024-10-03 03:10:21+00:00,2024-10-03 03:10:21+00:00,1_8
161,500,0.25,50,10000,2024-10-03 03:10:21+00:00,2024-10-03 03:10:21+00:00,1_8
162,500,0.5,1,100,2024-10-03 03:10:22+00:00,2024-10-03 03:10:22+00:00,1_8
163,500,0.5,1,1000,2024-10-03 03:10:22+00:00,2024-10-03 03:10:22+00:00,1_8
164,500,0.5,1,10000,2024-10-03 03:10:22+00:00,2024-10-03 03:10:22+00:00,1_8
165,500,0.5,10,100,2024-10-03 03:10:22+00:00,2024-10-03 03:10:23+00:00,1_8
166,500,0.5,10,1000,2024-10-03 03:10:23+00:00,2024-10-03 03:10:23+00:00,1_8
167,500,0.5,10,10000,2024-10-03 03:10:23+00:00,2024-10-03 03:10:23+00:00,1_8
168,500,0.5,50,100,2024-10-03 03:10:23+00:00,2024-10-03 03:10:23+00:00,1_8
169,500,0.5,50,1000,2024-10-03 03:10:24+00:00,2024-10-03 03:10:24+00:00,1_8
170,500,0.5,50,10000,2024-10-03 03:10:24+00:00,2024-10-03 03:10:24+00:00,1_8
171,500,0.75,1,100,2024-10-03 03:10:24+00:00,2024-10-03 03:10:24+00:00,1_8
172,500,0.75,1,1000,2024-10-03 03:10:24+00:00,2024-10-03 03:10:25+00:00,1_8
173,500,0.75,1,10000,2024-10-03 03:10:25+00:00,2024-10-03 03:10:25+00:00,1_8
174,500,0.75,10,100,2024-10-03 03:10:25+00:00,2024-10-03 03:10:25+00:00,1_8
175,500,0.75,10,1000,2024-10-03 03:10:25+00:00,2024-10-03 03:10:25+00:00,1_8
176,500,0.75,10,10000,2024-10-03 03:10:26+00:00,2024-10-03 03:10:26+00:00,1_8
177,500,0.75,50,100,2024-10-03 03:10:26+00:00,2024-10-03 03:10:26+00:00,1_8
178,500,0.75,50,1000,2024-10-03 03:10:26+00:00,2024-10-03 03:10:26+00:00,1_8
179,500,0.75,50,10000,2024-10-03 03:10:26+00:00,2024-10-03 03:10:27+00:00,1_8
180,750,0.0,1,100,2024-10-03 03:10:27+00:00,2024-10-03 03:10:27+00:00,1_8
181,750,0.0,1,1000,2024-10-03 03:10:27+00:00,2024-10-03 03:10:28+00:00,1_8
182,750,0.0,1,10000,2024-10-03 03:10:28+00:00,2024-10-03 03:10:28+00:00,1_8
183,750,0.0,10,100,2024-10-03 03:10:28+00:00,2024-10-03 03:10:29+00:00,1_8
184,750,0.0,10,1000,2024-10-03 03:10:29+00:00,2024-10-03 03:10:29+00:00,1_8
185,750,0.0,10,10000,2024-10-03 03:10:30+00:00,2024-10-03 03:10:30+00:00,1_8
186,750,0.0,50,100,2024-10-03 03:10:30+00:00,2024-10-03 03:10:31+00:00,1_8
187,750,0.0,50,1000,2024-10-03 03:10:31+00:00,2024-10-03 03:10:31+00:00,1_8
188,750,0.0,50,10000,2024-10-03 03:10:31+00:00,2024-10-03 03:10:32+00:00,1_8
189,750,0.25,1,100,2024-10-03 03:10:32+00:00,2024-10-03 03:10:32+00:00,1_8
190,750,0.25,1,1000,2024-10-03 03:10:33+00:00,2024-10-03 03:10:33+00:00,1_8
191,750,0.25,1,10000,2024-10-03 03:10:33+00:00,2024-10-03 03:10:34+00:00,1_8
