canopy_moisture,run_max_mem_rss_bytes,sim_time,surface_moisture,threads,wind_direction,wind_speed,run_uuid,area,runtime,cpu_usage_total,mem_usage_total,transmitted_packets_total,received_packets_total,transmitted_bandwidth_total,received_bandwidth_total,queue_seconds,hardware
0.2,11169068.0,18801,0.6,1,90.0,1.0,eda37769-e400-45ea-9c18-3d5ead9392a6,1854216.0,27332.0,54735.60840934272,38208716799.0,50438.226755858646,61465.52948285357,689177445.6694229,8635126.592755567,9111.0,2_16
0.4,11101328.0,18801,0.2,1,90.0,1.0,36e5acfd-edf6-4815-af8c-305c328242a0,1854216.0,34508.0,61839.16837344156,25385353215.0,109575.49907029478,256027.37836906384,737896215.3875917,1470274118.809568,56.0,2_16
0.4,11103172.0,18801,0.2,1,90.0,8.0,4083cf65-c4e4-4e5f-a78e-3da72cc4057b,1854216.0,34138.0,61095.34727529712,25385353215.0,108690.19424854146,255241.27580376927,723844320.331181,1469818438.324047,57.0,2_16
0.4,11129040.0,18801,0.6,1,90.0,8.0,a545be56-eb2b-4bd9-9c32-648e095a06be,1854216.0,29579.0,77981.89311788436,51054362623.0,77872.31491303541,247846.95037953224,589186998.842948,2296662345.593204,8.0,2_16
0.4,11128744.0,18801,0.6,1,90.0,1.0,b328a05e-cab3-4cc4-98d2-236ae9ab462a,1854216.0,33608.0,33643.75237839354,24151568383.0,47131.53442177592,99400.6906125056,397121119.4633596,659426007.1818204,47062.0,2_16
0.2,11102604.0,18801,0.2,1,90.0,8.0,803f72c2-229b-4d7f-8117-f21a8e85edec,1854216.0,36748.0,66312.59747037609,25936347135.0,97450.15987122586,178057.34028858694,657673245.1571392,1312289264.549581,35.0,2_16
0.2,11102644.0,18801,0.2,1,90.0,1.0,7859581a-8851-4d08-b966-ae291f19bca9,1854216.0,49056.0,82256.70366049506,25936347135.0,111120.6720268152,193008.97849088308,788994998.6283011,1314119594.4510298,28.0,2_16
0.2,11013188.0,18801,0.6,1,90.0,8.0,b6a9f13a-13be-43f2-b428-d067546e914c,1854216.0,30859.0,54547.323197281854,24527704063.0,81981.45715866372,158483.21462749637,595230358.0695851,1307116252.0103762,43.0,2_16
0.2,11013420.0,18801,0.6,1,90.0,1.0,0500243e-1d4f-4c3a-9297-e4db3261ea6b,1854216.0,45191.0,72567.10933312232,24529207295.0,97499.52871969152,179083.35414568824,773476556.0044434,1308968758.5520363,64.0,2_16
0.4,11117348.0,18801,0.2,1,90.0,8.0,a7c27c15-311c-4ef2-afd1-58e153b758d7,1854216.0,22881.0,38608.23804637049,24441479167.0,52681.95319521606,99154.96962367228,509981237.52007294,1310435475.3964205,52.0,2_16
